id,date_time,mc_code,buiding,auto_run,power_on,power_off,meeting,break_field,plan_stop,kpr_percent,yield_field,target_oee,one_day_time_on,available_time,percent_available,percent_performance,percent_oee,factory_utilize,percent_teep,process_group,is_check
37902593,2025-12-09 00:00:00.002000,X-40-231,A/2,0,686,4,0,0,0,100.0,100.0,85.0,1440,1436,52.083332,100.0,52.083332,100.0,52.083332,FI,True
37902594,2025-12-09 00:00:00.002000,X-40-232,A/2,487,949,4,0,0,0,100.0,100.0,85.0,1440,1436,33.819443,100.0,33.819443,100.0,33.819443,FI,True
37902595,2025-12-09 00:00:00.002000,X-40-233,A/2,0,176,4,0,0,0,100.0,100.0,85.0,1440,1436,87.5,100.0,87.5,100.0,87.5,FI,True
37902596,2025-12-09 00:00:00.002000,X-40-235,A/2,595,841,4,0,0,0,100.0,100.0,85.0,1440,1436,41.319443,100.0,41.319443,100.0,41.319443,FI,True
37902863,2025-12-09 00:00:00,X-40-237,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,FI,False
37902865,2025-12-09 00:00:00,X-40-241,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,FI,False
37903095,2025-12-09 00:00:00,X-44-104,A/2,1040,302,98,0,0,0,100.0,100.0,85.0,1440,1342,72.22222,100.0,72.22222,100.0,72.22222,FI,False
37902900,2025-12-09 00:00:00,X-44-106,,1055,182,203,0,0,0,100.0,100.0,85.0,1440,1237,73.263885,100.0,73.263885,100.0,73.263885,FI,False
37902830,2025-12-09 00:00:00,X-44-206,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,BE,False
37903856,2025-12-09 00:00:00,X-44-301,,855,0,585,0,0,0,100.0,100.0,85.0,1440,855,59.375,100.0,59.375,100.0,59.375,BE,False
37903858,2025-12-09 00:00:00,X-44-302,,938,0,502,0,0,0,100.0,100.0,85.0,1440,938,65.138885,100.0,65.138885,100.0,65.138885,BE,False
37903859,2025-12-09 00:00:00,X-44-303,,789,0,651,0,0,0,100.0,100.0,85.0,1440,789,54.791668,100.0,54.791668,100.0,54.791668,BE,False
37911043,2025-12-09 00:00:00,X-44-304,,821,0,619,0,0,0,100.0,100.0,85.0,1440,821,57.01389,100.0,57.01389,100.0,57.01389,BE,False
37903020,2025-12-09 00:00:00,X-57-03,B,1264,171,5,0,0,0,100.0,100.0,85.0,1440,1435,87.77778,100.0,87.77778,100.0,87.77778,ZMOT,False
37903021,2025-12-09 00:00:00,X-57-06,A/2,5,1431,4,0,0,0,100.0,100.0,85.0,1440,1436,0.3472222,100.0,0.3472222,100.0,0.3472222,ZMOT,False
37903022,2025-12-09 00:00:00,X-57-07,A/2,278,1157,5,0,0,0,100.0,100.0,85.0,1440,1435,19.305555,100.0,19.305555,100.0,19.305555,ZMOT,False
37903023,2025-12-09 00:00:00,X-57-09,A/2,395,1040,5,0,0,0,100.0,100.0,85.0,1440,1435,27.430555,100.0,27.430555,100.0,27.430555,ZMOT,False
